"FEN,Evaluation"
"8/5kpp/8/1P6/8/8/2r3PP/1R5K b - -,313"
"8/6pp/4k3/1P6/8/8/2r3PP/1R5K w - -,363"
"2r5/6pp/1P2k3/8/8/8/6PP/1R5K w - -,360"
"1r6/6pp/1P2k3/8/8/7P/6P1/1R5K w - -,245"
"1r6/6pp/1P2k3/8/8/7P/6PK/1R6 b - -,319"
"8/5k1p/6p1/8/8/8/5PPP/6K1 w - -,265"
"5k2/7R/6p1/p7/8/5PPK/r6P/8 b - -,306"
"2B5/8/2N5/3K4/8/8/1k6/8 b - -,200"
"1N1K4/1B6/8/8/8/8/8/3k4 b - -,300"
"8/6K1/8/4k3/2B1N3/8/8/8 w - -,161"
"8/8/8/8/2B5/2K5/4N3/1k6 b - -,274"
"1R6/P5k1/8/8/8/1KP5/8/r7 b - -,182"
"8/4p3/ppp3P1/4k1P1/8/1K6/8/8 b - -,-265"
"8/8/4kpp1/3p4/p3b2P/2B3P1/8/6K1 b - -,-168"
"3k4/3P4/p7/2p5/8/2b4r/P4R2/1K2R3 w - -,372"
"3k4/3P4/p7/2p5/3b4/7r/P4R2/1K1R4 w - -,242"
"5r2/5p1p/8/5k1N/8/8/1B6/7K b - -,-170"
"7k/8/8/2pK4/4n3/7p/7P/8 b - -,-217"
"7k/8/8/3K4/8/7p/7n/8 w - -,-185"
"8/p2n4/P4k2/7p/2BK4/8/6PP/8 w - -,282"
"8/6p1/1k1K2N1/2N5/8/8/8/8 w - -,327"
"8/K7/B7/2k5/2p5/2N5/1p6/8 w - -,345"
"2r3b1/1k6/8/6R1/1K1N1p2/P6P/6P1/8 w - -,391"
"6k1/1B5p/1p6/3n4/3r4/7P/5KP1/2R5 w - -,301"
"5r2/5p1p/8/5k2/8/7N/1B6/7K b - -,-177"
"3r4/5p1p/8/5k2/8/7N/1B6/7K w - -,-196"
"5r2/8/8/pk4p1/2N3P1/P4b2/1K6/5B2 w - -,262"
"8/2N5/8/2K5/k1B5/8/8/8 b - -,280"
"8/8/P7/3k4/1P6/1K5R/8/r7 b - -,161"
"7k/8/8/4b1n1/8/5P2/6PP/5R1K b - -,365"
"6k1/8/5pp1/3p1b2/p7/7P/3B2P1/7K w - -,-196"
"8/8/4kpp1/3p1b2/7P/p1B5/6P1/6K1 w - -,-304"
"5k2/7R/6p1/p7/8/5PPK/5r1P/8 w - -,344"
"1b6/3K4/2P5/1N6/8/8/8/7k b - -,309"
"8/p4n2/5k2/2p3p1/4B2P/4K3/P5P1/8 w - -,159"
"8/p7/5k1n/2p3pP/4B3/3K4/P5P1/8 b - -,304"
"8/p7/7n/2p1k1pP/4B3/3K4/P5P1/8 w - -,329"
"1B6/1p6/1kp5/8/8/8/2b3K1/3R4 w - -,298"
"3r4/4Np1p/8/8/4k3/8/1B6/7K w - -,-187"
"R7/P5k1/8/5P2/8/3K4/8/2r5 b - -,374"
"8/8/5k2/3B4/3N4/4K3/8/8 b - -,282"
"8/3k4/3b4/1K6/P6p/5B1P/1P6/8 b - -,175"
"1k6/8/3b4/1K6/PP5p/5B1P/8/8 w - -,263"
"8/k7/3b4/PK6/1P5p/5B1P/8/8 w - -,261"
"8/8/8/8/p5R1/4k3/6K1/r7 b - -,-150"
"4k3/6p1/5p1p/4n3/8/7P/5PP1/R5K1 b - -,338"
"8/8/8/8/1k1N4/3K4/2B5/8 b - -,278"
"8/8/3kB3/8/3N4/2K5/8/8 w - -,274"
"8/7N/1k2pp2/3P4/8/8/2r5/5K1R w - -,152"
"8/4P2N/1k3p2/8/8/5K1r/8/8 w - -,173"
"8/4P2N/1k3p2/8/5K2/7r/8/8 b - -,259"
"8/2k2K2/8/3B4/8/8/3N4/8 b - -,254"
"8/6p1/p4p1p/1N2k3/8/5PP1/6KP/8 w - -,216"
"2k5/K7/P2P2p1/6P1/6b1/B7/8/8 w - -,171"
"4k3/6p1/5p1p/4n3/8/7P/5PP1/2R3K1 b - -,205"
"4k3/8/5p1p/4n1p1/8/7P/5PP1/2R3K1 w - -,316"
"3k4/2pp2pp/P7/2PP1P2/8/8/6K1/8 b - -,-201"
"8/1p6/3k4/4n2p/p2KP3/P6N/1P6/8 w - -,-152"
"8/8/p2P4/1p2k3/2R1p3/7P/r7/5K2 w - -,266"
"3r4/7P/2R5/8/8/8/8/K1k5 b - -,243"
"8/3P2k1/8/8/6r1/4K3/8/8 b - -,260"
"8/3P2k1/8/8/2K5/6r1/8/8 b - -,252"
"1R6/P5k1/8/8/3K4/2P5/8/r7 b - -,154"
"4k3/6p1/5p1p/4n3/7P/8/5PP1/4R1K1 b - -,276"
"8/7p/2N2p2/8/4k3/8/1B4K1/3r4 w - -,-281"
"8/8/5N1k/8/2r2KR1/7P/8/8 w - -,375"
"8/1Kp5/5pP1/1P6/8/4B3/8/4kr2 b - -,176"
"8/1Kp5/5pP1/1P4B1/8/5r2/8/4k3 b - -,254"
"R7/p7/4nkp1/1p4p1/8/6P1/5PK1/8 w - -,282"
"R7/p7/2n2kp1/1p4p1/4K3/6P1/5P2/8 w - -,312"
"8/5Kp1/4N3/3k2N1/8/8/8/8 w - -,152"
"5k2/1R6/5P2/4K3/2b5/8/8/8 w - -,321"
"8/8/5P2/6P1/3K4/8/1k6/5r2 b - -,162"
"8/8/5P2/6P1/4K3/8/1k6/5r2 b - -,253"
"8/2P2k2/8/8/8/1K3r2/8/8 w - -,248"
"8/2P2k2/8/1K6/5r2/8/8/8 b - -,251"
"8/2P2k2/8/1K3r2/8/8/8/8 w - -,252"
"8/2P2k2/1K6/5r2/8/8/8/8 b - -,166"
"8/8/4kpp1/3p1b2/p6P/2B5/6P1/7K w - -,-158"
"4k3/6p1/5pnp/8/8/7P/5PP1/1R4K1 w - -,306"
"8/1R2nkp1/5p1p/8/8/7P/5PP1/6K1 w - -,302"
"8/5kp1/5p1p/4n3/4RP2/7P/6P1/6K1 b - -,288"
"4k3/6p1/5p1p/4n3/8/7P/5PP1/3R2K1 b - -,296"
"R7/5k2/P7/8/8/8/6K1/r7 b - -,251"
"7k/6r1/3P4/8/3p4/7R/8/2K5 b - -,253"
"6k1/6r1/3P4/8/3p4/6R1/8/2K5 b - -,255"
"8/8/3pP3/8/3k4/6R1/3r4/1K6 w - -,173"
"8/8/1n6/8/8/5k1p/7P/7K b - -,-302"
"5rk1/6p1/8/8/8/8/PP6/4R1K1 w - -,275"
"1nbk1bR1/8/8/8/8/8/8/1rB1KBN1 w - -,166"
"1nbk1R2/8/8/8/8/8/8/1rB1KBN1 b - -,167"
"8/8/8/4k3/2B1N3/8/8/4K3 w - -,239"
"5r2/1b3p2/5pk1/7R/8/8/5PPP/6K1 w - -,-188"
"7R/8/3pp2K/3kpP2/4P3/8/3P4/5r2 b - -,349"
"8/6P1/8/8/4rk2/8/8/6K1 w - -,257"
"7k/8/8/4b3/6P1/5n2/5P1P/5R1K w - -,283"
"2r5/8/8/5K1k/4N3/6RP/8/8 b - -,337"
"2r5/8/7k/5K2/6RP/6N1/8/8 b - -,386"
"8/6p1/5p2/k5p1/P2K3r/8/R4P2/8 w - -,-187"
"4k3/7p/6p1/1r6/B7/5N2/5P1P/b5K1 b - -,291"
"Rb6/p1k5/B1p5/8/6K1/4p3/8/8 b - -,271"
"Rb6/p1k5/B1p5/8/6K1/8/4p3/8 w - -,271"
"6k1/8/3NNK2/8/8/8/6p1/8 w - -,-296"
"8/3N4/8/2K1k3/2B5/8/8/8 b - -,345"
"4k3/6p1/5p1p/4n3/8/7P/4RPP1/6K1 b - -,221"
"8/8/8/8/8/p7/1p3K1k/1R6 b - -,-169"
"8/4k1pp/8/4N3/8/8/6PP/6K1 b - -,384"
"6R1/7k/8/2p5/2P3N1/6KP/4r1P1/4n3 w - -,346"
"7k/8/8/6n1/8/8/3b1PPP/2R4K w - -,394"
"3b4/p6k/8/2R5/8/5P2/1r3NK1/8 b - -,-369"
"8/k1NK4/B7/8/8/8/8/8 b - -,249"
"7k/8/8/4b1n1/8/8/5PPP/2R4K b - -,362"
"R7/3k4/8/2Nr4/8/B7/4K3/8 b - -,360"
"8/4k3/2K1N1p1/6N1/8/8/8/8 w - -,271"
"6k1/1n3R2/6p1/p7/8/5PPK/r6P/8 w - -,344"
"5k2/8/4K3/2NB4/8/8/8/8 b - -,189"
"R7/6k1/P7/8/8/8/6K1/r7 b - -,219"
"8/8/5KP1/7r/8/8/8/1k6 w - -,278"
"8/8/8/8/2k3N1/4K3/2B5/8 w - -,236"
"8/8/8/8/2k5/8/2BK1N2/8 w - -,164"
"7k/5p1p/6N1/8/4b3/8/5PPP/6K1 b - -,-370"
"8/8/2kN4/8/2K5/8/8/1B6 w - -,168"
"2k5/8/p2b4/2p5/8/2P4r/P4R2/1K1R4 b - -,339"
"R1k5/8/4N3/3r4/8/B7/4K3/8 b - -,345"
"R7/1k6/4N3/3r4/8/B7/4K3/8 w - -,335"
"8/pp2pk2/8/8/8/5K2/PP5P/8 b - -,299"
"8/6pp/4k3/8/8/7P/5PP1/6K1 w - -,246"
"2k5/8/p7/2p1b3/8/2P4r/P4R2/1K1R4 w - -,325"
"6k1/4R1pp/8/8/8/8/1R6/1K3r2 w - -,246"
"8/8/3k4/8/2B5/1N6/8/4K3 b - -,295"
"R7/P5k1/6p1/1K6/5P1P/8/8/r7 w - -,361"
"3K4/8/2k5/8/3B4/4N3/8/8 b - -,243"
"6r1/8/P7/1P5k/8/8/7K/8 w - -,153"
"5k2/6pp/5b1B/8/8/8/6K1/8 b - -,-241"
"3K4/P7/2R5/2k5/8/7r/8/8 b - -,251"
"8/5k2/5p1p/4n1p1/8/6RP/5PP1/6K1 w - -,312"
"2R5/5k2/5p1p/4n1p1/8/7P/5PP1/6K1 w - -,317"
"8/8/8/5k2/3KN3/8/4B3/8 b - -,265"
"8/5k2/4N3/5K1B/8/8/8/8 b - -,301"
"8/8/8/2K5/4k3/8/8/5BN1 w - -,259"
"R7/p7/5kp1/1p4p1/3nK3/6P1/5P2/8 b - -,350"
"2R5/p7/2n2kp1/1p4p1/4K3/6P1/5P2/8 b - -,377"
"1R6/p3n3/5kp1/1p4p1/4K3/6P1/5P2/8 b - -,364"
"8/6k1/2R3p1/1p4p1/2n1K1P1/5P2/8/8 b - -,340"
"4k3/6p1/5p1p/4n3/6P1/7P/5P2/4R1K1 b - -,399"
"R7/P6k/6p1/8/1K3P1P/8/8/r7 w - -,275"
"R7/P5k1/6p1/8/5P1P/8/1K6/r7 b - -,264"
"5k2/5brR/8/8/4KpB1/5P1P/8/8 w - -,252"
"5k2/5br1/7R/8/4KpB1/5P1P/8/8 b - -,191"
"7k/8/8/4R1n1/8/2b5/5PPP/7K b - -,-231"
"r5k1/7p/8/6N1/8/B7/2B5/6K1 w - -,213"
"r7/p7/kP2B3/2K5/8/1P6/8/8 w - -,282"
"8/4R3/5k2/6n1/8/2b5/5PPP/7K w - -,289"
"8/3R2k1/8/4b3/4n3/8/5PPP/7K b - -,307"
"1R6/7p/8/8/8/3k1r2/7P/n5K1 w - -,-164"
