"FEN,Evaluation"
"8/p5p1/5p1p/1N2k3/8/5PP1/6KP/8 b - -,201"
"2k5/5Np1/4K3/2N5/8/8/8/8 w - -,157"
"5Nk1/7R/6p1/p7/8/1P4P1/4r1Kn/8 w - -,-339"
"8/3KN3/3B4/8/2k5/8/8/8 w - -,204"
"8/7N/1k2Pp2/8/8/8/2r5/5K1R b - -,175"
"8/4P2N/1k3p2/8/8/8/5K2/7r b - -,161"
"3N4/3K4/8/2k5/2B5/8/8/8 w - -,296"
"8/2K5/2B1N3/k7/8/8/8/8 w - -,192"
"8/8/8/8/3k4/3B4/3N4/4K3 w - -,287"
"8/8/p2P4/1p2k3/3Rp3/7P/r7/5K2 b - -,269"
"8/8/4b3/6pp/3B1P1P/1pK1Pk2/8/8 w - -,-336"
"8/8/3N4/2KB4/8/2k5/8/8 b - -,265"
"8/8/5k2/7K/8/1B3N2/8/8 b - -,164"
"2r4k/5R2/7p/3n4/4p2P/4P3/5P1K/8 w - -,-252"
"8/1N6/3K4/k2B4/8/8/8/8 b - -,270"
"8/1N6/8/2KB4/8/k7/8/8 w - -,205"
"8/8/8/8/1K6/8/2BN4/k7 b - -,280"
"8/8/6B1/8/2kN4/8/3K4/8 w - -,167"
"5rb1/1k6/8/1N3pR1/1K6/P6P/6P1/8 b - -,370"
"8/8/8/3k4/8/2K3N1/8/6B1 w - -,229"
"2B5/2K5/2N5/8/8/3k4/8/8 w - -,217"
"8/8/B1N5/2K5/8/8/8/1k6 b - -,311"
"8/8/8/5B2/1k3b2/1p2p3/8/3K4 w - -,-160"
"8/8/6B1/8/5b2/1p2p3/1k6/3K4 w - -,-158"
"8/3k4/8/8/3N4/8/8/4KB2 b - -,210"
"7k/4R3/5b2/6n1/8/8/5PPP/7K w - -,396"
"8/1p2Bk2/4p3/8/8/1P6/8/1n4K1 w - -,317"
"8/6n1/6K1/P7/7B/5k1p/8/8 w - -,359"
"3K4/8/8/8/6B1/2k5/4N3/8 b - -,284"
"3K4/8/8/8/6B1/5N2/4k3/8 w - -,284"
"4R2k/8/8/6n1/8/2b5/5PPP/7K b - -,363"
"8/6pp/8/4k3/6P1/8/5PKP/8 w - -,217"
"5rk1/7p/8/6N1/8/8/2B5/2B3K1 b - -,192"
"8/8/8/3k4/8/2K5/8/5NB1 w - -,211"
"8/8/8/8/8/2K5/k1B5/4N3 b - -,316"
"8/8/2K5/8/1k1NB3/8/8/8 b - -,238"
"6k1/1R3p2/7p/4P3/5PP1/r7/5K2/8 w - -,309"
"8/3k2p1/4R2p/7B/p7/8/2P3P1/2K5 b - -,392"
"2r3b1/8/1k4R1/8/1K1N1p2/P6P/6P1/8 b - -,373"
"2r3b1/1k6/6R1/1N6/1K3p2/P6P/6P1/8 b - -,334"
"8/pp2k3/5pp1/3P4/2K5/2P2P2/6P1/8 b - -,-366"
"8/8/8/5k2/8/4KB2/8/6N1 b - -,330"
"8/5kp1/5p1p/4n3/8/6PP/5P2/4R1K1 w - -,317"
"B7/p7/3k3n/2p3pP/2K5/8/P5P1/8 b - -,392"
"5rb1/1k6/3N2R1/8/1K3p2/P6P/6P1/8 b - -,352"
"8/8/8/8/2K5/1B6/4N3/2k5 b - -,179"
"8/8/6B1/8/8/8/2N1k3/2K5 b - -,170"
"3k4/4N1p1/4K3/8/4N3/8/8/8 w - -,151"
"8/5r2/8/4RbP1/k4P2/6K1/8/8 w - -,193"
"8/8/8/5rP1/k4P2/6K1/8/8 w - -,260"
"8/8/8/5rP1/k4PK1/8/8/8 b - -,253"
"8/2R5/5k2/6n1/8/2b5/5PPP/7K b - -,259"
"8/8/2k5/8/3B4/6N1/8/4K3 w - -,312"
"4k3/6p1/5p1p/4n3/8/4R2P/5PP1/6K1 b - -,338"
"8/2R5/5pkp/4n1p1/8/7P/5PP1/6K1 w - -,342"
"3K4/8/2N5/8/6B1/8/2k5/8 b - -,213"
"4k3/6p1/5p1p/4n3/8/5P1P/6P1/4R1K1 b - -,204"
"7k/8/2K5/2p5/8/2n4p/7P/8 b - -,-307"
"8/4NK2/4N2k/8/6p1/8/8/8 w - -,360"
"8/8/8/N1K1k3/8/8/8/6B1 w - -,283"
"4B3/3p4/2k5/8/8/1p2p3/3bK3/8 b - -,-151"
"8/1BK5/8/1k6/2N5/8/8/8 w - -,198"
"8/7p/2k3p1/5n2/P7/2K5/5p1P/5R2 b - -,-394"
"8/8/1k6/1pp3pp/4N3/1P2K1P1/8/8 b - -,375"
"1K6/3b4/8/5p2/8/3B4/4N3/5k2 w - -,313"
"8/2Kb4/8/5p2/8/3B4/4N3/5k2 b - -,230"
"4b3/2K5/8/5p2/8/3B4/4N3/5k2 w - -,215"
"6b1/4K3/8/5p2/8/3B4/4N3/5k2 w - -,215"
"5Kb1/8/8/5p2/8/3B4/4N3/5k2 b - -,245"
"8/2P2k2/1r1K4/8/8/8/8/8 w - -,251"
"8/2P2k2/8/8/1r1K4/8/8/8 w - -,252"
"2r3b1/1k4R1/8/8/1K1N1p2/P6P/6P1/8 b - -,360"
"2r3b1/6R1/1k6/8/1K1N1p2/P6P/6P1/8 w - -,385"
"8/8/2N5/8/5k2/1BK5/8/8 w - -,227"
"8/8/8/4k1K1/8/8/8/5BN1 w - -,206"
"5b2/5k2/8/8/5PK1/3B4/4P3/8 w - -,294"
"5b2/5k2/8/8/4PPK1/3B4/8/8 b - -,388"
"5b2/4k3/8/8/4PPK1/3B4/8/8 w - -,375"
"5b2/4k3/8/8/2B1PPK1/8/8/8 b - -,340"
"8/4k1b1/8/8/2B1PPK1/8/8/8 w - -,264"
"8/4k3/7b/4P3/2B2PK1/8/8/8 w - -,286"
"8/3k4/5K2/3B4/8/1N6/8/8 b - -,283"
"8/8/8/5k2/3K4/2N5/8/5B2 w - -,200"
"8/8/8/2k1N3/4K3/1B6/8/8 b - -,176"
"3B4/8/6k1/8/5K2/4N3/8/8 b - -,236"
"8/4P2N/1k3p2/8/8/5K2/7r/8 b - -,172"
"5rk1/4R1pp/8/8/1R6/8/8/1K6 b - -,257"
"8/8/8/8/4B3/1k6/3KN3/8 b - -,238"
"R7/P5k1/r5p1/8/5P1P/1K6/8/8 b - -,266"
"8/3R1p1k/6p1/p7/8/5PPK/r6P/8 w - -,318"
"8/8/2k5/8/6K1/8/6pP/4b3 w - -,-348"
"8/P7/8/1P5k/8/8/7K/5r2 b - -,245"
"8/5k2/8/1p4PP/1P1B3K/8/8/3b4 b - -,175"
"6k1/7p/5r2/8/8/B7/8/7K w - -,-365"
"8/8/8/8/5N2/5K2/2B5/4k3 b - -,156"
"8/6P1/8/5p2/1B5K/8/8/2kr4 w - -,174"
"8/6pp/8/2k1N3/8/8/6PP/6K1 b - -,324"
"8/8/8/8/3k4/5K2/B7/6N1 w - -,234"
"8/5P2/8/4P3/8/7k/r6p/6RK b - -,241"
"8/5N2/8/4k3/2B5/2K5/8/8 b - -,175"
"8/8/8/2k1K3/8/5N2/8/5B2 b - -,263"
"8/8/8/4N3/2K5/8/2k5/5B2 b - -,247"
"8/8/8/4k3/4N3/3B4/3K4/8 b - -,179"
"8/6p1/5p2/k5p1/P2K4/7r/R4P2/8 b - -,-281"
"8/8/6B1/3k4/8/3K1N2/8/8 b - -,239"
"6k1/5R1p/6p1/8/4b1P1/P4r2/7P/6K1 w - -,-396"
"6k1/8/5pp1/3p1b2/p7/2B4P/6P1/7K b - -,-170"
"8/5k2/5pp1/3p1b2/p7/2B4P/6P1/7K w - -,-226"
"8/8/8/3K4/2B2k2/2N5/8/8 b - -,193"
"1R6/5kp1/5pnp/8/8/7P/5PP1/6K1 w - -,333"
"8/8/B7/3k4/3N4/4K3/8/8 w - -,208"
"8/8/8/4K3/8/8/3kN3/5B2 w - -,259"
"8/8/3k4/4N3/4BK2/8/8/8 b - -,321"
"8/4kN2/8/4P3/p7/4K3/8/8 b - -,-347"
"8/8/8/4k3/2K5/4B3/8/5N2 b - -,206"
"8/3k4/5K2/4P3/1Pb5/4B3/8/8 b - -,215"
"8/8/8/8/3N1k2/3K3B/8/8 w - -,283"
"8/7B/8/3k4/8/3NK3/8/8 b - -,224"
"8/8/8/2K5/2B2kN1/8/8/8 w - -,187"
"6k1/R7/7K/8/4b2P/8/8/8 w - -,260"
"8/5P1p/3pb2p/3k4/8/8/2B1P3/3K4 b - -,282"
"8/5b1p/3p3p/3k4/8/1B6/4P3/3K4 b - -,268"
"8/8/2K5/8/1kN5/1B6/8/8 w - -,167"
"4k3/8/8/8/8/7N/8/4KB2 b - -,206"
"8/8/5k1p/2r3p1/5bP1/1P5P/5RK1/8 w - -,-342"
"8/5N2/3k2K1/5B2/8/8/8/8 b - -,272"
"8/8/3k4/8/8/8/B2K4/6N1 w - -,282"
"8/5k2/5p1p/4n1p1/8/6KP/5PP1/4R3 w - -,262"
"8/8/5K2/5B2/3k2N1/8/8/8 w - -,156"
"3K4/8/8/4N3/6B1/2k5/8/8 w - -,210"
"8/8/1r3kp1/4b3/8/6P1/2R3KP/8 b - -,-221"
"5k2/8/2KN4/3B4/8/8/8/8 b - -,212"
"8/8/4b3/6k1/3PK2p/Bp6/8/8 w - -,-366"
"4k3/6p1/5p1p/4n3/8/7P/5PPK/4R3 b - -,303"
"8/2P2k2/8/8/8/8/3K1r2/8 w - -,248"
"8/8/8/8/2KN4/8/2k5/5B2 b - -,260"
"8/8/2k1K3/8/8/8/7B/5N2 b - -,210"
"8/2k2P2/8/8/2r1K3/8/8/8 w - -,164"
"5rk1/1R4pp/8/4R3/8/8/8/1K6 b - -,238"
"5k2/8/4K1PP/8/2B5/8/1b6/8 w - -,163"
"8/8/8/1K6/2BN4/8/1k6/8 b - -,244"
"8/8/3KN3/k2B4/8/8/8/8 b - -,317"
"8/3k4/8/4N3/8/8/8/4KB2 b - -,312"
"8/8/8/3k2N1/8/8/8/4KB2 w - -,254"
"8/7R/8/2k2P2/1p6/3r4/5PKP/8 w - -,158"
"8/3k4/8/8/8/8/5B2/4KN2 w - -,219"
"8/8/2kN4/8/8/8/3K4/6B1 w - -,312"
"8/8/3K4/3N1B2/2k5/8/8/8 w - -,282"
"8/8/8/8/3kB3/3N4/4K3/8 w - -,188"
"r7/5pNp/8/8/6k1/8/1B6/7K w - -,-318"
"8/8/8/1N6/2B5/1K6/8/1k6 w - -,171"
"5rk1/7p/8/6N1/8/2B5/2B5/6K1 b - -,192"
"2R5/6k1/8/6n1/8/2b5/5PPP/7K b - -,388"
"7k/8/8/6n1/8/2b5/5PPP/2R4K b - -,359"
"8/3r4/2k5/P7/1p2KPP1/4N3/8/8 w - -,-384"
"8/5KP1/3k4/4R3/8/8/8/7r b - -,260"
"8/5k1N/8/5K2/4B3/8/8/8 b - -,277"
"R7/2k3N1/8/3r4/8/B7/4K3/8 w - -,370"
"2R5/P5k1/8/8/2P5/3K4/8/r7 b - -,365"
"8/2P2k2/8/8/8/5r2/2K5/8 b - -,243"
"8/7R/8/8/4K1k1/6pp/8/8 b - -,-156"
"8/7R/8/8/4K1k1/6p1/7p/8 w - -,-240"
"8/8/8/2k5/5N2/3B4/4K3/8 w - -,262"
"8/1k6/8/1KB5/4N3/8/8/8 b - -,247"
"8/8/8/8/B7/2K1N3/8/2k5 b - -,217"
"4k3/6p1/5p1p/4n3/8/6PP/5P2/4R1K1 b - -,335"
"8/8/8/4k3/2K5/7B/4N3/8 w - -,208"
"8/8/8/8/2B2N2/3K4/8/1k6 w - -,202"
"R2k4/6N1/8/3r4/8/B7/4K3/8 b - -,302"
"8/8/2k5/8/6N1/8/8/4K1B1 w - -,213"
"8/8/5kp1/8/8/6P1/1b4KP/8 w - -,-173"
"8/1p6/8/1P1k1K2/1P6/4B2n/8/8 w - -,172"
"1NB5/8/8/8/2K2k2/8/8/8 w - -,298"
"8/8/8/k1K5/3N4/3B4/8/8 b - -,296"
"8/8/8/2K5/2B5/4kN2/8/8 w - -,223"
"8/8/3K4/8/4B3/1k6/2N5/8 b - -,238"
"8/8/8/2k1K3/3N4/1B6/8/8 b - -,188"
"8/6R1/p7/5k1p/7P/r5P1/6K1/8 b - -,392"
"8/6R1/p4k2/7p/7P/r5P1/6K1/8 w - -,363"
"8/8/2K5/3B4/3kN3/8/8/8 w - -,221"
"8/2k5/4B3/2KN4/8/8/8/8 b - -,208"
"8/2R5/1k1r1P2/8/1p6/8/5PKP/8 w - -,236"
"6k1/1R4pp/8/8/4R3/8/8/1K3r2 w - -,368"
"8/8/8/2k1NK2/2B5/8/8/8 b - -,203"
"8/8/8/8/3k4/4N3/8/4KB2 w - -,283"
"8/5kp1/5p1p/8/8/5nPP/8/4R1K1 w - -,-232"
"8/8/3k4/2N5/3BK3/8/8/8 w - -,199"
"6k1/5r1p/8/6N1/8/8/1BB5/6K1 b - -,219"
"8/8/5k2/7R/p6P/r5P1/6K1/8 w - -,392"
"8/8/4k3/8/3B4/4K3/6B1/8 b - -,325"
"8/K1k5/B7/3N4/2p5/8/1p6/8 b - -,212"
"5N2/3k2p1/8/4K3/4N3/8/8/8 b - -,152"
"8/8/8/3k2N1/4B3/4K3/8/8 b - -,276"
"8/8/8/3B2k1/7N/6K1/8/8 w - -,200"
"8/8/8/2k5/4K1N1/8/8/6B1 b - -,311"
"8/2k5/3b4/1K6/PP5p/5B1P/8/8 b - -,294"
"8/8/p4k2/6Rp/7P/r5P1/6K1/8 b - -,356"
"7r/8/3b1k2/1R3B1p/8/7P/PP6/1K6 w - -,282"
"7r/8/3b1k2/1R5p/4B3/7P/PP6/1K6 b - -,201"
"8/k7/8/P7/1PK4p/5BbP/8/8 w - -,328"
"8/k7/8/PP6/7p/1K2b2P/4B3/8 b - -,321"
"8/k7/8/PP6/7p/1K5P/3bB3/8 w - -,334"
"8/k7/1P6/P7/7p/1K5P/3bB3/8 b - -,155"
"8/1k6/1P6/P7/7p/1K5P/3bB3/8 w - -,193"
"8/1k6/1P6/P7/K6p/7P/3bB3/8 b - -,180"
"8/8/1Pk5/P7/K6p/7P/3bB3/8 w - -,187"
"8/8/1P6/PBk5/K6p/7P/3b4/8 w - -,178"
"5rk1/7p/8/3N3K/8/5p2/1B6/8 w - -,-226"
"8/8/8/2B5/2K1k3/8/3N4/8 b - -,217"
"8/8/8/3Nk3/2K5/8/8/6B1 w - -,213"
"8/8/8/2KN4/3Bk3/8/8/8 b - -,220"
"8/8/6P1/1p3k1P/1P1B3K/8/8/3b4 w - -,190"
"8/5k2/8/6N1/5K2/7B/8/8 b - -,274"
"8/8/4K3/2kBN3/8/8/8/8 b - -,164"
"8/8/8/8/2B1K3/k7/4N3/8 b - -,298"
"8/3P2k1/8/8/8/6r1/3K4/8 b - -,281"
"6k1/5pp1/6n1/8/6b1/3BR3/5P1P/6K1 w - -,378"
"8/8/B3N3/8/3k4/8/8/4K3 b - -,207"
"8/8/3k2N1/6K1/4B3/8/8/8 w - -,244"
"8/8/8/5N2/4k3/8/8/4K1B1 w - -,292"
"8/8/2k5/8/8/8/3KB3/6N1 w - -,330"
"8/8/2K5/1B6/3N4/8/1k6/8 w - -,296"
"5k2/7N/4K3/3B4/8/8/8/8 b - -,318"
"8/8/6B1/8/3k1K2/8/8/6N1 b - -,324"
"8/6k1/8/4b1n1/8/8/5PPP/7K w - -,-256"
"8/8/8/8/8/1KN5/2N5/2k5 w - -,254"
"2N5/2K5/2B5/k7/8/8/8/8 w - -,195"
"4R3/6k1/8/6n1/5P2/2b5/6PP/7K b - -,366"
"3r4/8/P1k5/8/1p2KPP1/4N3/8/8 b - -,-375"
"8/8/8/2k5/3N4/3K4/4B3/8 w - -,196"
"8/8/2NK4/8/k7/8/4B3/8 w - -,205"
"6k1/1R4pp/8/8/8/8/4R3/1K3r2 w - -,246"
"5rk1/8/8/7p/6pP/6P1/4N1K1/8 b - -,-390"
"3R4/6k1/8/4b3/4n3/8/5PPP/7K w - -,335"
"8/3R4/6k1/4b3/4n3/8/5PPP/7K w - -,394"
"8/1k6/8/3N4/3B4/2K5/8/8 w - -,310"
"8/7N/1k2Pp2/8/8/8/8/2r2K1R w - -,160"
"8/7N/1k2Pp2/8/8/8/5K2/7r w - -,153"
"8/4P2N/1k3p2/8/8/8/5K1r/8 w - -,259"
"8/4P2N/1k3p2/8/5K1r/8/8/8 w - -,259"
"8/4P2N/1k3p2/5K1r/8/8/8/8 w - -,259"
"8/4P2N/1k3K1r/8/8/8/8/8 w - -,168"
"8/8/K7/P7/1P6/8/7k/r7 b - -,280"
"8/8/8/1BK5/3N4/8/k7/8 w - -,301"
"1nbk4/8/2p5/1p6/8/6B1/8/7K w - -,-206"
"8/8/1P3k1p/n1B1p2P/5p2/5P2/6K1/8 b - -,236"
"8/8/5pkp/4n3/8/8/5PP1/4R1K1 w - -,313"
"8/8/3K4/3B4/2Nk4/8/8/8 b - -,208"
"8/8/4N3/2K5/2B1k3/8/8/8 b - -,192"
"8/8/3k4/8/4K3/8/5B2/5N2 b - -,299"
"8/8/6B1/3K4/1k1N4/8/8/8 b - -,203"
"7k/8/8/4b1n1/6P1/8/5P1P/5R1K b - -,276"
"8/6pp/4k3/8/8/6P1/5P1P/6K1 w - -,258"
"8/8/8/1B6/3N1k2/2K5/8/8 w - -,205"
"1N6/2K5/8/8/6B1/1k6/8/8 w - -,214"
"1r3k2/5Ppp/8/8/2R5/8/P5PP/K7 b - -,173"
"1r6/5kpp/8/8/2R5/8/P5PP/K7 w - -,211"
"1r6/5kpp/8/8/P1R5/8/6PP/K7 b - -,183"
"2k5/6R1/N7/8/8/6K1/7p/5b2 w - -,389"
"k7/8/2K5/8/8/8/3N4/6B1 b - -,216"
"5rk1/7p/8/8/4N3/8/1BB5/6K1 b - -,225"
"3K4/8/N7/5B2/8/1k6/8/8 w - -,200"
"8/8/8/3BK3/8/8/3k4/4N3 w - -,197"
"2k5/N7/3K2p1/6N1/8/8/8/8 b - -,155"
"8/8/8/8/2BNk3/8/3K4/8 w - -,250"
"8/8/2k5/8/8/5N1B/4K3/8 b - -,201"
"6k1/6pp/2r5/8/1P6/8/6PP/1R5K w - -,215"
"8/8/1k1N4/4B3/2K5/8/8/8 b - -,249"
"8/6k1/3N2N1/5Kp1/8/8/8/8 b - -,353"
"5r2/5p1p/8/5k2/8/3N4/1B6/7K b - -,-186"
"8/8/2k5/8/4K3/4B1N1/8/8 w - -,281"
"8/5K2/8/2p5/8/2P2N2/2p3N1/7k w - -,-200"
"8/5K2/8/2p5/8/2P5/2p3N1/6Nk b - -,-156"
"8/8/3rnk2/5p2/8/6P1/R4PK1/8 w - -,-184"
"8/8/1Pk5/PB6/K6p/7P/3b4/8 b - -,167"
"5r1k/4Np1p/8/7p/4P3/8/6PP/6K1 w - -,-199"
"2r5/8/8/5K1k/4N3/7P/8/6R1 b - -,163"
"8/8/8/3k1N2/8/3BK3/8/8 b - -,158"
"3k4/5B2/2K5/2N5/8/8/8/8 b - -,190"
"5k2/5B1p/4N3/8/8/8/1B6/6K1 b - -,279"
"8/P7/P7/k6K/8/8/7p/7r w - -,175"
"r7/5p1p/8/5k2/8/8/1B2N3/7K w - -,-171"
"8/8/8/1k6/8/B3N3/3K4/8 b - -,349"
"8/8/8/8/4k3/2K5/8/5NB1 w - -,282"
"8/8/5N2/8/2KB4/5k2/8/8 w - -,207"
"5rk1/4R1pp/8/8/8/8/1R6/1K6 b - -,238"
"8/4r3/2p5/N7/p7/k7/5B2/1K6 b - -,274"
"8/8/4kpp1/3p1b2/7P/p1B5/5KP1/8 b - -,-179"
"8/8/8/5k2/3K4/5B2/8/6N1 b - -,290"
"8/8/B3k3/8/4K3/5N2/8/8 b - -,308"
"3k4/5N2/3K2p1/N7/8/8/8/8 b - -,162"
"8/4k1pp/8/4N3/6PP/8/8/6K1 b - -,389"
"8/8/4k3/1K6/1N1B4/8/8/8 w - -,196"
"8/8/3K4/k7/3N4/1B6/8/8 b - -,308"
"8/8/8/8/2B5/1K2k3/2N5/8 b - -,160"
"8/8/8/8/2B5/1K3k2/2N5/8 w - -,218"
"8/8/8/3Bk2N/2K5/8/8/8 w - -,224"
"4k3/R7/4N3/8/8/B7/3r1K2/8 w - -,350"
"8/8/2K1N3/3B4/1k6/8/8/8 b - -,319"
"8/8/8/2NK4/2B5/k7/8/8 b - -,322"
"8/8/8/8/2B5/3N4/3K4/k7 b - -,185"
"8/8/8/3N4/3B4/3K4/6k1/8 w - -,168"
"8/2N5/3K4/1B6/8/k7/8/8 w - -,200"
"8/8/2NK4/k2B4/8/8/8/8 b - -,213"
"8/1Kp3P1/8/1P4p1/8/5r2/8/4k3 b - -,257"
"8/8/4k3/2KN4/3B4/8/8/8 b - -,223"
"1nb5/1pk5/2p5/3R4/7B/8/8/7K b - -,-158"
"8/P7/8/3p3r/3k3B/3P4/5K2/8 b - -,178"
"8/3N2k1/3NK3/8/8/6p1/8/8 w - -,353"
"8/3B4/8/4k3/3N4/3K4/8/8 w - -,282"
"n2B4/6k1/4p3/4N3/8/8/8/6K1 b - -,275"
"8/5k2/5p1p/4n1p1/8/7P/4KPP1/4R3 w - -,292"
"8/p7/PN1k4/8/2K5/8/8/8 b - -,296"
"7k/6r1/3P4/8/3p4/5R2/8/2K5 w - -,258"
"8/8/8/5k2/2B5/2NK4/8/8 b - -,311"
"8/8/2nk4/1p6/p3P2p/P3K2N/1P6/8 b - -,-356"
"8/8/8/5K2/3kN3/8/8/5B2 w - -,207"
"5k2/6pp/8/4N3/8/6P1/7P/6K1 b - -,376"
"8/8/2n5/1pk5/p3P2p/P3K2N/1P6/8 w - -,-275"
"8/8/3N4/2K2k2/3B4/8/8/8 b - -,161"
"8/6k1/8/6n1/3b4/4R3/5PPP/7K w - -,359"
"8/8/3pP3/8/3k4/4R3/3r4/1K6 b - -,156"
"8/4P2N/1k3p2/5K2/7r/8/8/8 b - -,259"
"8/8/3k1K2/8/8/1B6/5N2/8 b - -,198"
"8/8/3k3p/1B5R/3K1p2/5P1P/b5r1/8 w - -,178"
"2B5/4kb2/6rR/8/4Kp2/5P1P/8/8 w - -,160"
"5r2/6kp/8/4p3/8/8/1B6/7K w - -,-342"
"5rk1/4R1pp/8/1R6/8/8/8/1K6 b - -,310"
"8/3N4/5k2/8/3KB3/8/8/8 b - -,232"
"8/8/2P5/1P1r4/8/8/2K5/k1N5 b - -,264"
"8/8/2P5/1P1r4/8/8/8/k1NK4 w - -,274"
"1B6/1p6/1kp5/8/8/3b4/8/5R1K w - -,249"
"5r2/5pB1/8/5k1p/8/3N4/8/7K b - -,-244"
"6r1/5pB1/8/5k1p/8/3N4/8/7K w - -,-193"
"8/8/3k4/5N2/8/8/8/4K1B1 b - -,206"
"5r2/7p/3N4/5pk1/8/8/1B6/7K w - -,-150"
"8/8/4B3/1k1K4/8/1N6/8/8 w - -,223"
"8/8/3k4/8/8/2N1K3/2B5/8 w - -,329"
"8/8/8/8/8/8/2BN4/k1K5 b - -,178"
"5r2/5p1p/8/3N1k2/8/8/1B6/7K b - -,-153"
"8/8/3K4/3BN3/3k4/8/8/8 b - -,268"
"8/8/8/1N1BK3/8/8/2k5/8 b - -,185"
"1k6/8/1K6/1N6/8/4B3/8/8 b - -,206"
"8/8/3k4/8/3KN3/4B3/8/8 b - -,303"
"8/k7/2K5/8/5B2/8/8/5N2 b - -,196"
"3r4/5p1p/8/8/4k3/4N3/1B6/7K w - -,-288"
"7r/5k2/8/4RB1p/1b6/8/PP5P/1K6 w - -,248"
"7r/5k2/8/4RB1p/1b6/7P/PP6/1K6 b - -,251"
"7r/8/5k2/1R3B1p/1b6/7P/PP6/1K6 b - -,273"
"4r3/6k1/3b4/5R1p/8/5B1P/PP6/1K6 b - -,267"
"8/6k1/8/4b1n1/8/8/5PPP/5RK1 w - -,392"
"1N6/8/8/8/2K5/8/k1B5/8 b - -,226"
"8/8/2N5/8/8/2K5/2B5/k7 b - -,214"
"8/8/Bk1K4/2N5/8/8/8/8 b - -,246"
"8/8/8/8/2Bk4/4N3/3K4/8 b - -,177"
"8/8/4B3/8/8/2K5/2N5/3k4 b - -,277"
"1N6/8/8/8/3KB3/8/1k6/8 b - -,285"
"8/8/3K4/8/8/k7/8/5BN1 w - -,199"
"8/8/8/8/3K4/8/3kN3/5B2 w - -,290"
"8/8/5N2/8/3KB3/1k6/8/8 b - -,261"
"8/8/8/8/8/3K1Nk1/8/7B b - -,207"
"8/8/8/8/8/3k1N1B/5K2/8 w - -,282"
"8/8/2r3pP/6PB/8/K7/7k/8 b - -,249"
"7k/8/8/6n1/8/2b1R3/5PPP/7K b - -,359"
"7k/8/8/6n1/8/4R3/3b1PPP/7K w - -,379"
"4R3/6k1/8/4b3/8/8/5nPP/7K w - -,178"
"7r/8/5k2/4RB1p/1b6/7P/PP6/1K6 w - -,228"
"1N6/8/3KB3/8/8/2k5/8/8 b - -,213"
"1N6/8/8/3BK3/8/3k4/8/8 b - -,292"
"R7/p7/4nkp1/1p4p1/8/5KP1/5P2/8 b - -,283"
"1R6/p7/5kpn/1p4p1/4K1P1/5P2/8/8 b - -,307"
"5rk1/7p/8/6N1/8/B7/2B5/6K1 b - -,283"
"8/8/4N3/2k5/8/2KB4/8/8 b - -,234"
"3k4/8/N1KB4/8/8/8/8/8 b - -,172"
"8/8/8/2k1K3/3N4/8/6B1/8 b - -,260"
"8/8/kN6/2K5/3B4/8/8/8 b - -,266"
"8/6k1/6p1/p7/8/1B3K2/3b4/8 w - -,-335"
"4B3/8/8/3k1N2/1K6/8/8/8 w - -,223"
"K7/P4k2/8/8/4R3/8/1r6/8 b - -,249"
"8/P7/P7/k6K/8/8/7p/r6B b - -,257"
"8/8/3k4/1B6/8/7N/8/4K3 w - -,209"
"8/8/8/1B1k4/8/3N4/4K3/8 w - -,191"
"1k6/4N3/3R2p1/4Pb2/3P4/7r/3K4/8 b - -,369"
"2B5/8/8/p3kPp1/2b3P1/P5K1/8/8 w - -,151"
"8/8/8/3k4/8/2NK3B/8/8 b - -,200"
"6k1/8/3P4/8/3p4/6r1/8/2K5 w - -,255"
"3R3k/8/8/4b3/4n3/8/5PPP/7K b - -,300"
"8/8/8/2KNB3/8/3k4/8/8 b - -,156"
"R7/p7/5kp1/1p4p1/3n4/5KP1/5P2/8 w - -,386"
"8/8/8/2N5/2K5/k7/8/1B6 b - -,200"
"6R1/8/5N1k/2p5/2P5/6KP/4r1P1/4n3 w - -,300"
"8/8/2KBk3/8/p7/P7/8/8 b - -,390"
"8/8/8/3k4/8/1N1B4/3K4/8 w - -,236"
"2R4k/5r2/6p1/8/8/8/5PPP/6K1 b - -,251"
"8/8/8/8/1R6/3k1r1p/7P/n5K1 w - -,-342"
"8/8/7p/8/R4p2/2P1k1rp/1P4PK/8 w - -,-329"
"2B5/8/2N1K3/8/4k3/8/8/8 b - -,288"
"8/8/2N1B3/3K4/8/2k5/8/8 b - -,187"
"8/8/8/pp1p4/bk1P4/1p6/3P4/K3B3 w - -,-374"
"8/7k/5K2/5N2/6p1/8/6N1/8 b - -,244"
"5r2/2R2ppk/8/3b4/8/8/5PPP/6K1 w - -,-279"
"2r5/1b2Nppk/8/8/8/8/5PPP/6K1 w - -,-385"
"8/8/8/2KN4/5B2/2k5/8/8 b - -,151"
"8/8/8/8/4k3/8/4K3/5BN1 b - -,320"
"1NB5/8/8/8/8/K2k4/8/8 w - -,234"
"8/3P4/5k2/N6p/8/8/P4KPr/8 b - -,386"
"8/8/8/8/2B5/2K2k2/2N5/8 b - -,175"
"8/8/8/6p1/1k4Bp/p7/K1P3P1/8 b - -,323"
"4R3/7k/8/2p5/2P2KN1/7P/6r1/4n3 b - -,293"
"4R3/7k/8/2p5/2P2KN1/3n3P/6r1/8 w - -,327"
"8/8/8/8/2k5/2N5/2BK4/8 b - -,184"
"8/8/5k2/8/4BNK1/8/8/8 b - -,212"
"8/3P2k1/8/2K5/6r1/8/8/8 b - -,244"
